iter	Passed	Remaining
810	6950	1619
811	6957	1610
812	6967	1602
813	6974	1593
814	6984	1585
815	6992	1576
816	7000	1568
817	7008	1559
818	7017	1550
819	7025	1542
820	7034	1533
821	7042	1524
822	7050	1516
823	7058	1507
824	7066	1498
825	7074	1490
826	7082	1481
827	7091	1473
828	7098	1464
829	7107	1455
830	7115	1447
831	7123	1438
832	7131	1429
833	7140	1421
834	7148	1412
835	7156	1403
836	7164	1395
837	7172	1386
838	7181	1378
839	7189	1369
840	7197	1360
841	7206	1352
842	7213	1343
843	7222	1334
844	7230	1326
845	7239	1317
846	7247	1309
847	7255	1300
848	7263	1291
849	7271	1283
850	7279	1274
851	7288	1266
852	7296	1257
853	7304	1248
854	7312	1240
855	7321	1231
856	7329	1223
857	7345	1215
858	7356	1207
859	7364	1198
860	7374	1190
861	7383	1182
862	7391	1173
863	7400	1164
864	7408	1156
865	7417	1147
866	7425	1139
867	7434	1130
868	7442	1121
869	7451	1113
870	7459	1104
871	7467	1096
872	7475	1087
873	7484	1079
874	7492	1070
875	7501	1061
876	7510	1053
877	7520	1044
878	7528	1036
879	7537	1027
880	7546	1019
881	7555	1010
882	7564	1002
883	7574	993
884	7583	985
885	7591	976
886	7600	968
887	7608	959
888	7617	951
889	7624	942
890	7633	933
891	7640	925
892	7649	916
893	7656	907
894	7665	899
895	7672	890
896	7681	882
897	7688	873
898	7697	864
899	7705	856
900	7714	847
901	7721	838
902	7731	830
903	7738	821
904	7747	813
905	7754	804
906	7763	796
907	7770	787
908	7779	778
909	7787	770
910	7795	761
911	7803	752
912	7812	744
913	7820	735
914	7829	727
915	7837	718
916	7846	710
917	7853	701
918	7862	693
919	7869	684
920	7879	675
921	7886	667
922	7895	658
923	7903	650
924	7912	641
925	7919	632
926	7929	624
927	7936	615
928	7946	607
929	7954	598
930	7963	590
931	7974	581
932	7982	573
933	7992	564
934	8000	556
935	8010	547
936	8018	539
937	8027	530
938	8037	522
939	8046	513
940	8056	505
941	8064	496
942	8073	488
943	8081	479
944	8090	470
945	8098	462
946	8108	453
947	8117	445
948	8126	436
949	8135	428
950	8143	419
951	8153	411
952	8161	402
953	8171	393
954	8179	385
955	8189	376
956	8198	368
957	8208	359
958	8217	351
959	8226	342
960	8235	334
961	8243	325
962	8252	317
963	8260	308
964	8269	299
965	8277	291
966	8286	282
967	8295	274
968	8303	265
969	8312	257
970	8320	248
971	8328	239
972	8337	231
973	8346	222
974	8353	214
975	8362	205
976	8370	197
977	8378	188
978	8385	179
979	8393	171
980	8401	162
981	8408	154
982	8417	145
983	8425	136
984	8433	128
985	8441	119
986	8449	111
987	8456	102
988	8464	94
989	8472	85
990	8480	77
991	8487	68
992	8495	59
993	8503	51
994	8510	42
995	8518	34
996	8525	25
997	8533	17
998	8540	8
999	8548	0
